Well_Name,Program,Expedition,Site,Hole,Oceanic_Region,Longitude,Latitude,Spud_Date,Completion_Date,Water_Depth_(m),Number_of_Cores,Total_Penetration_(mbsf),Interval_Cored_(m),Core_Recovered_(m),%_Recovered,Reported_Age_of_Oldest_Sediment_Recovered,Oldest_Sediment_Lithology,Oldest_Sediment_Subbottom_Depth,EGI_Synthesized,Well_Logging,Data_Source,depth_age_model_page_from_data_source,Lithology,Paleowater_depth,Depth_Age_model,fossil_zones
ODP 150-906A,ODP,150,906,A,North Atlantic Ocean,-72.7666,38.9649,"Jul 14, 1993","Jul 18, 1993",912.9,68,602.4,602.4,219.99,84.94189907,upper Eocene,nannofossil clayey chalk,602.4,,,http://www-odp.tamu.edu/publications/150_IR/VOLUME/CHAPTERS/ir150_10.pdf,,1,0,0,1
ODP 152-914A,ODP,152,914,A,North Atlantic Ocean,-39.7248,63.4623,"Sep 30, 1993","Sep 30, 1993",533.2,4,18.6,18.6,10.19,63.87096774,Quaternary,gravel and dropstone,18.6,,,http://www-odp.tamu.edu/publications/152_IR/VOLUME/CHAPTERS/ir152_06.pdf,15,1,1,1,1
ODP 152-914B,ODP,152,914,B,North Atlantic Ocean,-39.7247,63.4623,"Oct 1, 1993","Oct 3, 1993",533.2,17,245,151.2,6.09,11.75925926,early Oligocene,sandy silt,245,,,http://www-odp.tamu.edu/publications/152_IR/VOLUME/CHAPTERS/ir152_06.pdf,15,1,1,1,1
ODP 152-914C,ODP,152,914,C,North Atlantic Ocean,-39.7246,63.4622,"Oct 3, 1993","Oct 5, 1993",533.2,1,0,0,6.16,N/A,NA,,N/A,,,http://www-odp.tamu.edu/publications/152_IR/VOLUME/CHAPTERS/ir152_06.pdf,15,1,1,1,1
ODP 152-915A,ODP,152,915,A,North Atlantic Ocean,-39.7818,63.4714,"Oct 5, 1993","Oct 7, 1993",533.1,26,209.4,209.4,17.65,15.68290353,Eocene,volcanic clay with gravel,196.8,,,http://www-odp.tamu.edu/publications/152_IR/VOLUME/CHAPTERS/ir152_07.pdf,10,1,1,1,1
ODP 152-916A,ODP,152,916,A,North Atlantic Ocean,-39.8067,63.4856,"Oct 7, 1993","Oct 9, 1993",513.7,15,101.7,101.7,9.23,16.57817109,early to middle Eocene,volcaniclastic breccia,101.7,,,http://www-odp.tamu.edu/publications/152_IR/VOLUME/CHAPTERS/ir152_08.pdf,,1,1,0,1
ODP 152-917A,ODP,152,917,A,North Atlantic Ocean,-39.8278,63.4917,"Oct 10, 1993","Oct 26, 1993",508.1,110,874.9,874.9,11.93,51.99222768,probably late Paleocene-early Eocene,metaclaystone and metasiltstone,874.9,,,http://www-odp.tamu.edu/publications/152_IR/VOLUME/CHAPTERS/ir152_09.pdf,,1,1,0,1
ODP 152-918A,ODP,152,918,A,North Atlantic Ocean,-38.6389,63.0928,"Oct 26, 1993","Oct 28, 1993",1868.5,38,332.7,332.7,40.76,78.22963631,Pliocene,micritic mudstone and quartz silt with clay and gravel,332.7,,,http://www-odp.tamu.edu/publications/152_IR/VOLUME/CHAPTERS/ir152_11.pdf,50,1,1,1,1
ODP 152-918B,ODP,152,918,B,North Atlantic Ocean,-38.639,63.0928,"Oct 28, 1993","Oct 28, 1993",1868.2,3,25.8,25.8,0,98.75968992,Quaternary,silt with sand,25.8,,,http://www-odp.tamu.edu/publications/152_IR/VOLUME/CHAPTERS/ir152_11.pdf,50,1,1,1,1
ODP 152-918C,ODP,152,918,C,North Atlantic Ocean,-38.6388,63.0929,"Oct 28, 1993","Oct 28, 1993",1868.2,2,35.4,9.6,3.27,100.4166667,Quaternary,gravel,35.4,,,http://www-odp.tamu.edu/publications/152_IR/VOLUME/CHAPTERS/ir152_11.pdf,50,1,1,1,1
ODP 152-918D,ODP,152,918,D,North Atlantic Ocean,-38.6389,63.0929,"Oct 28, 1993","Nov 13, 1993",1868.2,113,1310.1,1012.8,11.19,25.13625592,early Eocene,glauconitic sandy silt,1189.4,,,http://www-odp.tamu.edu/publications/152_IR/VOLUME/CHAPTERS/ir152_11.pdf,50,1,1,1,1
ODP 152-919A,ODP,152,919,A,North Atlantic Ocean,-37.4602,62.67,"Nov 13, 1993","Nov 14, 1993",2088.2,10,93.5,93.5,490.05,100.0962567,Quaternary,silty clay,93.5,,,http://www-odp.tamu.edu/publications/152_IR/VOLUME/CHAPTERS/ir152_12.pdf,,1,1,0,1
ODP 152-919B,ODP,152,919,B,North Atlantic Ocean,-37.4603,62.67,"Nov 14, 1993","Nov 14, 1993",2086,8,147,75.7,329.05,102.0871863,Quaternary,silty clay,147,,,http://www-odp.tamu.edu/publications/152_IR/VOLUME/CHAPTERS/ir152_12.pdf,,1,1,0,1
ODP 152-919C,ODP,152,919,C,North Atlantic Ocean,-37.4604,62.6699,"Nov 14, 1993","Nov 15, 1993",2097.3,1,0,0,368.78,N/A,NA,,N/A,,,http://www-odp.tamu.edu/publications/152_IR/VOLUME/CHAPTERS/ir152_12.pdf,,1,1,0,1
ODP 155-930A,ODP,155,930,A,North Atlantic Ocean,-47.5957,5.0149,"Apr 1, 1994","Apr 2, 1994",3144.3,1,9.5,9.5,242.42,105.7894737,Pleistocene,Silty clay,9.5,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_06.pdf,,1,0,0,1
ODP 155-930B,ODP,155,930,B,North Atlantic Ocean,-47.5957,5.0149,"Apr 2, 1994","Apr 3, 1994",3144.6,24,225.3,225.3,79.53,90.20861074,Pleistocene,Silty clay,225.3,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_06.pdf,,1,0,0,1
ODP 155-930C,ODP,155,930,C,North Atlantic Ocean,-47.5958,5.01508,"Apr 3, 1994","Apr 4, 1994",3144.6,18,259,172.6,97.57,78.48783314,Pleistocene,Silty clay,259,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_06.pdf,,1,0,0,1
ODP 155-930D,ODP,155,930,D,North Atlantic Ocean,-47.5958,5.01675,"Apr 4, 1994","Apr 4, 1994",3145.3,6,51.5,51.5,99.51,103.4368932,Pleistocene,Silty clay,51.5,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_06.pdf,,1,0,0,1
ODP 155-931A,ODP,155,931,A,North Atlantic Ocean,-46.633,5.1418,"Apr 5, 1994","Apr 5, 1994",3472.7,6,53.6,53.6,36.98,106.3246269,Pleistocene,Silty clay,53.6,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_07.pdf,,1,0,0,1
ODP 155-931B,ODP,155,931,B,North Atlantic Ocean,-46.633,5.142,"Apr 5, 1994","Apr 10, 1994",3475.9,45,421.3,421.3,209.12,70.27059103,Pleistocene,Silty clay,421.3,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_07.pdf,,1,0,0,1
ODP 155-931C,ODP,155,931,C,North Atlantic Ocean,-46.6331,5.1421,"Apr 10, 1994","Apr 10, 1994",3474.5,4,32.6,32.6,122.85,105.6134969,Pleistocene,Silty clay,32.6,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_07.pdf,,1,0,0,1
ODP 155-932A,ODP,155,932,A,North Atlantic Ocean,-47.0295,5.21137,"Apr 11, 1994","Apr 12, 1994",3333.6,18,168.3,168.3,96.15,91.92513369,Pleistocene,Silty clay,168.3,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_08.pdf,,1,1,0,1
ODP 155-932B,ODP,155,932,B,North Atlantic Ocean,-47.0295,5.2115,"Apr 12, 1994","Apr 12, 1994",3336.1,6,52.5,52.5,152.6,103.0285714,Pleistocene,Silty clay,52.5,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_08.pdf,,1,0,0,1
ODP 155-933A,ODP,155,933,A,North Atlantic Ocean,-46.8123,5.09668,"Apr 12, 1994","Apr 15, 1994",3365.9,27,254.2,254.2,56.91,69.77970102,Pleistocene,Silty clay,254.2,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_09.pdf,34,1,1,0,1
ODP 155-934A,ODP,155,934,A,North Atlantic Ocean,-47.681,5.48412,"Apr 15, 1994","Apr 16, 1994",3421.7,12,108.8,108.8,44.03,102.6194853,Pleistocene,Silty clay,108.8,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_10.pdf,,1,0,0,1
ODP 155-934B,ODP,155,934,B,North Atlantic Ocean,-47.681,5.48367,"Apr 16, 1994","Apr 17, 1994",3421,12,108.8,108.8,66.46,97.35294118,Pleistocene,Silty clay,108.8,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_10.pdf,,1,0,0,1
ODP 155-935A,ODP,155,935,A,North Atlantic Ocean,-47.5648,5.4268,"Apr 18, 1994","Apr 22, 1994",3485.5,40,372.6,372,208.01,72.20430108,Pleistocene,Silty clay,372.6,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_11.pdf,41,1,1,0,1
ODP 155-936A,ODP,155,936,A,North Atlantic Ocean,-47.7356,5.6322,"Apr 22, 1994","Apr 27, 1994",3575,46,433.8,433.8,46.81,63.25956662,Pleistocene,Silty clay,433.8,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_12.pdf,53,1,1,0,1
ODP 155-937A,ODP,155,937,A,North Atlantic Ocean,-47.2074,4.5958,"Apr 27, 1994","Apr 27, 1994",2760.2,1,0.2,0.2,9.6,105,Pleistocene,Silty clay,0.2,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_13.pdf,26,1,1,0,1
ODP 155-937B,ODP,155,937,B,North Atlantic Ocean,-47.2074,4.5958,"Apr 27, 1994","Apr 28, 1994",2759.9,19,180.3,180.3,43.37,88.5801442,Pleistocene,Silty clay,180.3,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_13.pdf,26,1,1,0,1
ODP 155-937C,ODP,155,937,C,North Atlantic Ocean,-47.2074,4.596,"Apr 28, 1994","Apr 28, 1994",2756.3,9,76.5,76.5,74.75,105.254902,Pleistocene,Silty clay,76.5,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_13.pdf,26,1,1,0,1
ODP 155-937D,ODP,155,937,D,North Atlantic Ocean,-47.2074,4.5962,"Apr 28, 1994","Apr 28, 1994",2757.1,2,16.7,16.7,172.18,103.3532934,Pleistocene,Silty clay,16.7,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_13.pdf,26,1,1,0,1
ODP 155-938A,ODP,155,938,A,North Atlantic Ocean,-47.3123,4.6584,"Apr 29, 1994","Apr 30, 1994",2804.1,34,310.2,310.2,0,78.14958092,Pleistocene,Silty clay,310.2,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_14.pdf,28,1,1,0,1
ODP 155-938B,ODP,155,938,B,North Atlantic Ocean,-47.3124,4.6584,"Apr 30, 1994","May 1, 1994",2804.1,9,81.3,81.3,0,97.82287823,Pleistocene,Silty clay,81.3,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_14.pdf,28,1,1,0,1
ODP 155-939A,ODP,155,939,A,North Atlantic Ocean,-47.5033,4.7218,"May 1, 1994","May 2, 1994",2783.6,11,102.7,102.7,3.71,95.00486855,Pleistocene,Silty clay,102.7,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_15.pdf,25,1,1,0,1
ODP 155-939B,ODP,155,939,B,North Atlantic Ocean,-47.499,4.7217,"May 2, 1994","May 2, 1994",2792.3,11,99.4,99.4,171.46,100.110664,Pleistocene,Silty clay,99.4,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_15.pdf,25,1,1,0,1
ODP 155-939C,ODP,155,939,C,North Atlantic Ocean,-47.499,4.7217,"May 2, 1994","May 2, 1994",2791.1,4,36.1,36.1,0,102.4376731,Pleistocene,Silty clay,36.1,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_15.pdf,25,1,1,0,1
ODP 155-940A,ODP,155,940,A,North Atlantic Ocean,-47.5288,5.1432,"May 3, 1994","May 3, 1994",3191.4,27,248.6,248.6,2.95,84.11906677,Pleistocene,Silty clay,248.6,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_16.pdf,34,1,1,0,1
ODP 155-941A,ODP,155,941,A,North Atlantic Ocean,-48.0288,5.373,"May 6, 1994","May 7, 1994",3380.9,19,177.9,177.7,86.8,69.13337085,Pleistocene,Silty clay,177.9,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_17.pdf,34,1,1,0,1
ODP 155-941B,ODP,155,941,B,North Atlantic Ocean,-48.0288,5.373,"May 7, 1994","May 8, 1994",3377.5,12,85.1,85.1,2.18,112.9847239,Pleistocene,Silty clay,85.1,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_17.pdf,34,1,1,0,1
ODP 155-942A,ODP,155,942,A,North Atlantic Ocean,-49.0908,5.7425,"May 9, 1994","May 10, 1994",3346.3,20,177.6,177.6,339.14,85.92342342,Pleistocene,Silty clay,177.6,https://explorer.icordsgeo.org/download/projects/files/iodpattachments/iodp/file/egiSynthesis/wellhtm/site_950.htm,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_18.pdf,31,1,1,0,1
ODP 155-942B,ODP,155,942,B,North Atlantic Ocean,-49.091,5.7426,"May 10, 1994","May 10, 1994",3345.7,8,74,74,251.52,76.90540541,Pleistocene,Silty clay,74,https://explorer.icordsgeo.org/download/projects/files/iodpattachments/iodp/file/egiSynthesis/wellhtm/site_951.htm,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_18.pdf,31,1,1,0,1
ODP 155-942C,ODP,155,942,C,North Atlantic Ocean,-49.091,5.7424,"May 10, 1994","May 11, 1994",3348.8,5,71.5,42.3,84.53,104.0898345,Pleistocene,Silty clay,42.3,https://explorer.icordsgeo.org/download/projects/files/iodpattachments/iodp/file/egiSynthesis/wellhtm/site_951.htm,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_18.pdf,31,1,1,0,1
ODP 155-943A,ODP,155,943,A,North Atlantic Ocean,-47.7805,5.9468,"May 11, 1994","May 12, 1994",3738.5,12,106.3,106.3,415.18,62.52116651,Pleistocene,Silty clay,106.3,https://explorer.icordsgeo.org/download/projects/files/iodpattachments/iodp/file/egiSynthesis/wellhtm/site_952.htm,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_19.pdf,,1,0,0,1
ODP 155-944A,ODP,155,944,A,North Atlantic Ocean,-47.7578,5.9389,"May 12, 1994","May 16, 1994",3701.3,41,384.2,384.2,197.69,54.14107236,Pleistocene,Silty clay,348.2,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_20.pdf,38,1,1,0,1
ODP 155-944B,ODP,155,944,B,North Atlantic Ocean,-47.7601,5.9376,"May 16, 1994","May 16, 1994",3696.8,6,47.8,47.8,7.46,97.92887029,Pleistocene,Silty clay,47.8,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_20.pdf,38,1,1,0,1
ODP 155-944C,ODP,155,944,C,North Atlantic Ocean,-47.7556,5.9402,"May 16, 1994","May 16, 1994",3710.5,1,9.6,9.6,556.53,100,Pleistocene,Silty clay,9.6,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_20.pdf,38,1,1,0,1
ODP 155-944D,ODP,155,944,D,North Atlantic Ocean,-47.7555,5.9403,"May 16, 1994","May 17, 1994",3708.5,5,44.6,44.6,80.4,97.24215247,Pleistocene,Silty clay,44.6,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_20.pdf,38,1,1,0,1
ODP 155-945A,ODP,155,945,A,North Atlantic Ocean,-47.9288,6.9503,"May 17, 1994","May 18, 1994",4136.1,8,75.5,75.5,165.56,99.00662252,Pleistocene,Silty clay,75.5,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_21.pdf,,1,0,0,1
ODP 155-946A,ODP,155,946,A,North Atlantic Ocean,-47.9193,6.9496,"May 18, 1994","May 18, 1994",4100.1,29,275,275,534.08,62.61090909,Pleistocene,Silty clay,275,,,http://www-odp.tamu.edu/publications/155_IR/VOLUME/CHAPTERS/ir155_22.pdf,,1,0,0,1
ODP 157-953A,ODP,157,953,A,North Atlantic Ocean,-15.1447,28.6504,"Aug 22, 1994","Aug 23, 1994",3577.8,21,192.6,192.6,192.53,102.642783,late Pliocene,clayey nannofossil ooze,192.6,https://explorer.icordsgeo.org/download/projects/files/iodpattachments/iodp/file/egiSynthesis/wellhtm/site_959.htm,,http://www-odp.tamu.edu/publications/157_IR/VOLUME/CHAPTERS/ir157_07.pdf,67,1,0,1,1
ODP 157-953B,ODP,157,953,B,North Atlantic Ocean,-15.1447,28.6503,"Aug 23, 1994","Aug 24, 1994",3577.8,1,197.7,9.6,187.34,77.70833333,late Pliocene,clayey nannofossil ooze,197.7,https://explorer.icordsgeo.org/download/projects/files/iodpattachments/iodp/file/egiSynthesis/wellhtm/site_959.htm,,http://www-odp.tamu.edu/publications/157_IR/VOLUME/CHAPTERS/ir157_07.pdf,,1,0,0,1
ODP 157-953C,ODP,157,953,C,North Atlantic Ocean,-15.1445,28.6502,"Aug 24, 1994","Sep 4, 1994",3577.8,103,1158.7,971.7,429.03,57.27384995,early late Miocene,hyaloclastite lapillistone,1158.7,https://explorer.icordsgeo.org/download/projects/files/iodpattachments/iodp/file/egiSynthesis/wellhtm/site_959.htm,,http://www-odp.tamu.edu/publications/157_IR/VOLUME/CHAPTERS/ir157_07.pdf,,1,0,0,1
ODP 157-955A,ODP,157,955,A,North Atlantic Ocean,-15.2308,27.3258,"Sep 9, 1994","Sep 14, 1994",2854.1,63,599.4,599.4,160.67,89.10243577,middle Miocene,clayey nannofossil mixed sediment,599.4,https://explorer.icordsgeo.org/download/projects/files/iodpattachments/iodp/file/egiSynthesis/wellhtm/site_960.htm,,http://www-odp.tamu.edu/publications/157_IR/VOLUME/CHAPTERS/ir157_09.pdf,46,1,0,1,1
ODP 157-956A,ODP,157,956,A,North Atlantic Ocean,-16.1633,27.6151,"Sep 14, 1994","Sep 15, 1994",3441.9,18,161.6,161.6,60.42,99.30693069,early Pliocene,lapillistone,161.6,https://explorer.icordsgeo.org/download/projects/files/iodpattachments/iodp/file/egiSynthesis/wellhtm/site_961.htm,,http://www-odp.tamu.edu/publications/157_IR/VOLUME/CHAPTERS/ir157_10.pdf,46,1,0,1,1
ODP 157-956B,ODP,157,956,B,North Atlantic Ocean,-16.1633,27.6149,"Sep 15, 1994","Sep 22, 1994",3441.9,57,703.5,546.4,56.74,54.39238653,middle Miocene,hyaloclastite lapillistone,703.5,https://explorer.icordsgeo.org/download/projects/files/iodpattachments/iodp/file/egiSynthesis/wellhtm/site_961.htm,,http://www-odp.tamu.edu/publications/157_IR/VOLUME/CHAPTERS/ir157_10.pdf,,1,0,0,1
ODP 159-959A,ODP,159,959,A,Gulf of Guinea,-2.7352,3.62765,"Jan 9, 1995","Jan 12, 1995",2090.7,52,480.7,480.7,8.48,94.90326607,Oligocene,claystone,480.9,,,http://www-odp.tamu.edu/publications/159_IR/VOLUME/CHAPTERS/ir159_05.pdf,33,1,0,1,1
ODP 159-959B,ODP,159,959,B,Gulf of Guinea,-2.73558,3.62762,"Jan 12, 1995","Jan 13, 1995",2091.2,20,184.4,184.4,65.86,104.4088937,Miocene,nannofossil chalk,184.4,,,http://www-odp.tamu.edu/publications/159_IR/VOLUME/CHAPTERS/ir159_05.pdf,33,1,0,1,1
ODP 159-959C,ODP,159,959,C,Gulf of Guinea,-2.73527,3.62782,"Jan 13, 1995","Jan 14, 1995",2091.7,20,179.6,179.6,142.14,104.3095768,Miocene,nannofossil chalk,179.6,,,http://www-odp.tamu.edu/publications/159_IR/VOLUME/CHAPTERS/ir159_05.pdf,33,1,0,1,1
ODP 159-959D,ODP,159,959,D,Gulf of Guinea,-2.73582,3.6276,"Jan 14, 1995","Jan 24, 1995",2090.7,78,1158.9,741.1,126.61,57.89097288,early Cretaceous,claystone and siltstone,1158.9,,,http://www-odp.tamu.edu/publications/159_IR/VOLUME/CHAPTERS/ir159_05.pdf,33,1,0,1,1
ODP 159-960A,ODP,159,960,A,Gulf of Guinea,-2.7336,3.58305,"Sep 24, 1995",N/A,2048.3,61,451.2,451.2,119.55,32.13874113,early Cretaceous,claystone/sandstone,451.2,,,http://www-odp.tamu.edu/publications/159_IR/VOLUME/CHAPTERS/ir159_06.pdf,,1,0,0,1
ODP 159-960B,ODP,159,960,B,Gulf of Guinea,-2.7331,3.5836,N/A,N/A,2034,1,7.1,7.1,16.89,100.7042254,Pleistocene,nannofossil foraminifer ooze,7.15,,,http://www-odp.tamu.edu/publications/159_IR/VOLUME/CHAPTERS/ir159_06.pdf,,1,0,0,1
ODP 159-960C,ODP,159,960,C,Gulf of Guinea,-2.73317,3.58388,N/A,"Feb 4, 1995",2034.9,26,352.8,230.3,72.32,69.76552323,late Cretaceous,skeletal grainstone/packstone,377.7,,,http://www-odp.tamu.edu/publications/159_IR/VOLUME/CHAPTERS/ir159_06.pdf,35,1,0,1,1
ODP 159-961A,ODP,159,961,A,Gulf of Guinea,-3.05855,3.44237,"Feb 4, 1995","Feb 7, 1995",3292,35,308.7,308.7,9.87,19.57240039,pre-late Paleocene; probably Aptian-Albian,clayey siltstone,308.7,,,http://www-odp.tamu.edu/publications/159_IR/VOLUME/CHAPTERS/ir159_07.pdf,,1,0,0,1
ODP 159-961B,ODP,159,961,B,Gulf of Guinea,-3.05933,3.4426,"Feb 7, 1995","Feb 12, 1995",3292,19,374.6,134.8,241.53,42.09198813,pre-late Paleocene; probably Aptian-Albian,siltstone,374.6,,,http://www-odp.tamu.edu/publications/159_IR/VOLUME/CHAPTERS/ir159_07.pdf,,1,0,0,1
ODP 160-964A,ODP,160,964,A,Mediterranean Sea - Eastern Basin,17.7498,36.2604,"Mar 17, 1995","Mar 18, 1995",3657.7,11,101.8,101.8,50.47,104.2436149,early Pliocene,foraminifer-bearing nannofossil ooze,101.8,,,http://www-odp.tamu.edu/publications/160_IR/VOLUME/CHAPTERS/ir160_05.pdf,19,1,0,1,1
ODP 160-964B,ODP,160,964,B,Mediterranean Sea - Eastern Basin,17.75,36.2604,"Mar 18, 1995","Mar 19, 1995",3658.3,11,102,102,48.68,103.1960784,early Pliocene,clay-bearing nannofossil ooze,102,,,http://www-odp.tamu.edu/publications/160_IR/VOLUME/CHAPTERS/ir160_05.pdf,19,1,0,1,1
ODP 160-964C,ODP,160,964,C,Mediterranean Sea - Eastern Basin,17.7501,36.2604,"Mar 19, 1995","Mar 20, 1995",3660.3,12,105.1,105.1,16.97,101.3130352,early Pliocene,nannofossil ooze,105.1,,,http://www-odp.tamu.edu/publications/160_IR/VOLUME/CHAPTERS/ir160_05.pdf,19,1,0,1,1
ODP 160-964D,ODP,160,964,D,Mediterranean Sea - Eastern Basin,17.75,36.2605,"Mar 20, 1995","Mar 20, 1995",3660.3,12,108.6,108.6,44.19,103.3149171,early Pliocene,nannofossil ooze,108.6,,,http://www-odp.tamu.edu/publications/160_IR/VOLUME/CHAPTERS/ir160_05.pdf,19,1,0,1,1
ODP 160-964E,ODP,160,964,E,Mediterranean Sea - Eastern Basin,17.75,36.2608,"Mar 20, 1995","Mar 21, 1995",3660.9,6,85.5,53,58.75,102.490566,Pliocene,nannofossil ooze,85.5,,,http://www-odp.tamu.edu/publications/160_IR/VOLUME/CHAPTERS/ir160_05.pdf,19,1,0,1,1
ODP 160-964F,ODP,160,964,F,Mediterranean Sea - Eastern Basin,17.7504,36.2606,"Mar 21, 1995","Mar 21, 1995",3657.3,3,28.1,28.1,64.19,99.43060498,Pleistocene,nannofossil ooze,28.1,,,http://www-odp.tamu.edu/publications/160_IR/VOLUME/CHAPTERS/ir160_05.pdf,19,1,0,1,1
ODP 160-965A,ODP,160,965,A,Mediterranean Sea - Eastern Basin,32.7131,33.918,"Mar 24, 1995","Mar 27, 1995",1506.6,27,250.4,250.4,17.25,17.08865815,NA,limestone (brecciated bioclastic grainstone),250.4,,,http://www-odp.tamu.edu/publications/160_IR/VOLUME/CHAPTERS/ir160_06.pdf,11,1,0,1,1
ODP 160-966A,ODP,160,966,A,Mediterranean Sea - Eastern Basin,32.7016,33.7967,"Mar 27, 1995","Mar 27, 1995",926.6,13,106.8,106.8,47.5,68.54868914,NA,carbonate conglomerate,106.8,,,http://www-odp.tamu.edu/publications/160_IR/VOLUME/CHAPTERS/ir160_07.pdf,"23, 25",1,0,1,1
ODP 160-966B,ODP,160,966,B,Mediterranean Sea - Eastern Basin,32.7015,33.7961,"Mar 27, 1995","Mar 28, 1995",926.6,16,146,146,29.52,66.09589041,NA,"conglomerate, matrix supported",146,,,http://www-odp.tamu.edu/publications/160_IR/VOLUME/CHAPTERS/ir160_07.pdf,"23, 26",1,0,1,1
ODP 160-966C,ODP,160,966,C,Mediterranean Sea - Eastern Basin,32.7015,33.7963,"Mar 28, 1995","Mar 29, 1995",925.9,17,127,127,93.54,80,NA,carbonate breccia,146,,,http://www-odp.tamu.edu/publications/160_IR/VOLUME/CHAPTERS/ir160_07.pdf,"23, 27",1,0,1,1
ODP 160-966D,ODP,160,966,D,Mediterranean Sea - Eastern Basin,32.7008,33.7965,"Mar 29, 1995","Mar 29, 1995",926.3,20,136.5,136.5,0,77.61172161,NA,,136.5,,,http://www-odp.tamu.edu/publications/160_IR/VOLUME/CHAPTERS/ir160_07.pdf,"23, 28",1,0,1,1
ODP 160-966E,ODP,160,966,E,Mediterranean Sea - Eastern Basin,32.7008,33.7967,"Mar 29, 1995","Mar 29, 1995",926.3,1,8.5,8.5,86.78,99.76470588,Pleistocene,nannofossil ooze,8.5,,,http://www-odp.tamu.edu/publications/160_IR/VOLUME/CHAPTERS/ir160_07.pdf,"23, 29",1,0,1,1
ODP 160-966F,ODP,160,966,F,Mediterranean Sea - Eastern Basin,32.7015,33.7976,"Mar 29, 1995","Apr 1, 1995",922.9,31,356,297,9.62,22.17508418,Eocene,nannofossil ooze,356,,,http://www-odp.tamu.edu/publications/160_IR/VOLUME/CHAPTERS/ir160_07.pdf,"23, 30",1,0,1,1
ODP 160-967A,ODP,160,967,A,Mediterranean Sea - Eastern Basin,32.7254,34.0683,"Apr 1, 1995","Apr 2, 1995",2553,16,141.3,141.3,9.73,100.5944798,NA,calcareous ooze,148.3,,,http://www-odp.tamu.edu/publications/160_IR/VOLUME/CHAPTERS/ir160_08.pdf,"28, 29",1,0,1,1
ODP 160-967B,ODP,160,967,B,Mediterranean Sea - Eastern Basin,32.7254,34.0682,"Apr 2, 1995","Apr 3, 1995",2555,14,121.5,121.5,64.13,104.2057613,NA,calcareous ooze,121.5,,,http://www-odp.tamu.edu/publications/160_IR/VOLUME/CHAPTERS/ir160_08.pdf,"28, 30",1,0,1,1
ODP 160-967C,ODP,160,967,C,Mediterranean Sea - Eastern Basin,32.7255,34.0712,"Apr 3, 1995","Apr 3, 1995",2552.8,13,114.4,114.4,19.81,104.5017483,NA,calcareous matrix-supported conglomerate,13,,,http://www-odp.tamu.edu/publications/160_IR/VOLUME/CHAPTERS/ir160_08.pdf,"28, 31",1,0,1,1
